Disease,Study Name,Eligibility Criteria
Hypertension,User Testing and Feedback for a Mobile Health Program for Postpartum Women: A Pilot Study,"Inclusion Criteria:

* Age 18-45
* Body Mass Index (BMI): 25 - 45 kg/m2
* Positive history of one or more of the following complications in most recent singleton pregnancy:

  1. Gestational diabetes mellitus
  2. Preeclampsia (high blood pressure and proteinuria diagnosed after 20 weeks gestation)
  3. Gestational hypertension (new hypertension diagnosed after 20 weeks without proteinuria)
  4. Pre-term delivery (32-37 weeks)
  5. Small for gestational age (\<10th percentile for gestational age)
* Able to communicate in English
* Access to and be willing to use a wi-fi enabled iPhone or iPod
* Access to a computer with internet access
* Capable of providing informed consent
* Between 4 weeks and 24 weeks after delivery

Exclusion Criteria:

* Personal history of Type 1 or 2 diabetes
* Personal history of breast cancer or any other type of cancer other than a basal cell skin cancer;
* Personal history of major chronic illness including cardiovascular disease (coronary artery disease, congestive heart failure, valvular heart disease, stroke, transient ischemic attack, or intermittent claudication), kidney disease, liver disease, venous or arterial thromboembolic disease, adrenal insufficiency, depression requiring hospitalization within the past 6 months, or non-pregnancy related illness requiring overnight hospitalization in the past 6 months;
* Underlying disease/treatment that might interfere with participation in/completion of the study (e.g. significant gastrointestinal conditions, major psychiatric disorders, and others at the discretion of the study clinician)"
Hypertension,Treatment of Failing Blebs With Ranibizumab,"Inclusion Criteria:

* Ability to provide written informed consent and comply with study assessments for the full duration of the study
* Age \> 40 years
* Patients with Open-angle Glaucoma who have had trabeculectomy
* Patients determined to have failing bleb with presence of superficial bleb vascularity and IOP increase on 3 successive visits without topical medication
* Patients whose intraocular pressure (IOP) is above goal IOP after suture lysis and digital compression have been attempted

Exclusion Criteria:

* Pregnancy (positive pregnancy test) or lactation.
* Premenopausal women not using adequate contraception. The following are considered effective means of contraception: surgical sterilization or use of oral contraceptives, barrier contraception with either a condom or diaphragm in conjunction with spermicidal gel, an IUD, or contraceptive hormone implant or patch.
* Current infection or inflammation in either eye
* Any abnormality preventing reliable applanation tonometry in either eye
* Other non-glaucomatous disease affecting visual field, (pituitary lesions, demyelinating disease, congenital optic nerve anomaly, prior retinal and optic nerve vascular occlusive disease, retinal dystrophy and degeneration, diabetes and HIV and AIDS infection)
* Strabismus, nystagmus, monocular patient
* Prior enrollment in the study
* Any other condition that the investigator believes would pose a significant hazard to the subject if the investigational therapy were initiated
* Participation in another simultaneous medical investigation or trial"
Hypertension,Registry for Pulmonary Hypertension Due to Left Heart Disease in China,"Inclusion Criteria:

* Pulmonary Hypertension due to left heart disease

Exclusion Criteria:

* Other forms of Pulmonary Hypertension
* Heart failure due to valvular heart disease
* Hypertrophic obstructive cardiomyopathy
* Right ventricular outflow tract stenosis
* Pericardial disease
* Patients with chronic lung disease"
Hypertension,Inferonasal MIMS® Procedure: Long-Term Follow-Up Extension Study,"Inclusion Criteria:

1. Subject who underwent MIMS® inferonasal procedure, and surgery was performed not earlier than 24 months from enrollment"
Hypertension,Retrospective Treatment Pattern Survey for the Patient With and Without History of Stroke,"Inclusion Criteria:

* Outpatients attending neurology specialty centers, either with or without history of stroke, receiving hypertension medication

Exclusion Criteria:

* Secondary hypertension patients
* Patients not receiving hypertension medication"
Hypertension,Randomizated Open-label Control Trial to Evaluate if the Incorporation of sFlt1/PlGF Ratio in the Diagnosis and Classification of PE Improves Maternal and Perinatal Outcomes in Women With the Suspicion of the Disease,"Inclusion Criteria:

* Ability to read and understand informed consent.
* Unique pregnancies.
* \> 24 weeks and \<41 weeks
* Suspected preeclampsia:

  1. 140/90 or worsening of chronic hypertension
  2. Onset of proteinuria (Labstick + or proteinuria\> 300mg / 24 hours) or worsening of it
  3. Preeclampsia prodromal clinic such as epigastric, headache, photopsia, tinnitus and increased edema in the face hands or legs or weight gain (\> 1 kg per week in the third trimester)
  4. Analytical alterations: decrease in platelets \<100,000. Increased transaminases.
  5. Ultrasound alterations: Small fetus for gestational age or restriction of interatrial growth, increased resistance of the uterine arteries.
* Pre-eclampsia (ACOG Practice Bulletin 2013)

Exclusion Criteria:

* Multiple pregnancies
* \<24 weeks of gestation
* Fetal chromosomal or congenital abnormalities
* Conditions that require immediate delivery (eclampsia, pulmonary edema, uncontrolled hypertension, severe visual disturbances, severe headache, fetal demise, non-reassuring fetal status....)"
Hypertension,Secular Trends in the Prevalence of Cardiometabolic Risk Factors Among Teenage School Children in Urban South India,"Inclusion Criteria:

1. Children both boys and girls between 12 - 18yrs age group
2. Parents and child willing to give informed consent
3. Children must be available for and willing to attend all evaluation visits
4. Willingness to follow the protocol requirements as evidenced by written informed consent

Exclusion Criteria:

1. Children below the age of 12 years and above the age of 18 years
2. Parents or Child who is not willing to participate in the study"
Hypertension,An Efficacy and Safety Study of Bimatoprost 0.01% Alone Compared With Travoprost 0.004% and Timolol 0.5% in Subjects With Glaucoma or Ocular Hypertension,"Inclusion Criteria:

* Ocular hypertension or glaucoma that requires treatment with medication
* Have a best corrected visual acuity (BCVA) of 20/100 or better in both eyes

Exclusion Criteria:

* History of LASIK, LASEK, RK, and/or PRK in the study eye(s)
* History of any intraocular surgery or glaucoma laser surgery in the study eye(s) within 3 months
* Use of topical, periorbital, intravitreal or systemic steroid within 3 months or expected use during the course of study"
Hypertension,BALANCE Diet Implementation in Primary Health Care: a Cluster Randomized Type II Hybrid Implementation Study,"Clusters Inclusion criteria: All Public Primary Care Units from both cities will be included. However, the Health services that encourage health professionals to use the Cardioprotective Food manual before randomization will be excluded.

Participants (patients) Inclusion criteria:

* Individuals aged ≥20 years of either sex who have a previous medical diagnosis of at least one of the following conditions:
* Type 2 diabetes mellitus;
* Systemic arterial hypertension (Systolic blood pressure ≥140 mmHg or diastolic blood pressure greater than ≥90 mmHg or in drug treatment for hypertension);
* Isolated hypercholesterolemia: isolated increase in LDL-c (LDL-c ≥ 160 mg/dL).
* Isolated hypertriglyceridemia: isolated increase in triglycerides (TG ≥ 150 mg/dL or ≥ 175 mg/dL if the sample is obtained without fasting).
* Obesity or overweight (body mass index ≥25.0 kg/m2).

Exclusion Criteria:

* Prior cardiovascular event (acute myocardial infarction, stroke, peripheral arterial disease);
* Psychiatric or neurocognitive condition that prevents understanding of guidelines (defined by the clinical judgment of the investigators);
* Life expectancy less than 6 months (example: metastatic malignant neoplasm) to be defined by the investigator's judgment;
* Pregnancy or lactation;
* Liver failure with a previous history of encephalopathy or anasarca;
* Chronic renal failure;
* Organ transplantation;
* Gastroplasty for less than a year;
* Impossibility of oral feeding.
* No access to internet or mobile phone."
Hypertension,A Study to Evaluate the Long-term Use of Valsartan in Children 6 Months to 5 Years Old With Hypertension,"Inclusion criteria

* Participants who qualified and entered the core study.
* Participants who participated in the core study, completed Period 1 and were re-randomized in Period 2 and continued for at least 3 days in Period 2.

Exclusion criteria

* Participants who did not complete Period 1 of the core study.
* Participants who were re-randomized in Period 2 of core study but did not continue for =\> 3 days in Period 2 of the core study.
* Participants who experienced any adverse events considered serious or drug related in the core study.
* Participants excluded from the core study."
